title,presence_in_store,rating,num_of_reviews,price
MAXTONE DHC-15 Guitar Combo Amp,True,5,0,2863.0
LINE 6 SPIDER V 20 MKII,True,4,26,7999.0
CORT CM15R (Dark Red),True,4,2,3968.0
CORT CM30R (Black),True,4,8,6716.0
YAMAHA THR10 II,True,4,27,16647.0
LINE 6 SPIDER JAM,True,4,15,12999.0
MOOER Hornet 30 Black,True,4,0,6938.0
LINE 6 SPIDER V 30 MKII,True,4,36,12488.0
PRS ARCHON 50 COMBO,True,4,0,56741.0
AMPEG ROCKET BASS 108,True,4,0,8999.0
AMPEG ROCKET BASS 110,True,5,2,12275.0
YAMAHA THR30IIA Wireless,True,4,5,28758.0
CORT CM20B,True,4,0,4274.0
AMPEG ROCKET BASS 115,True,4,0,28287.0
